function_rank,function_share,cumulative_bugfix_share
1,2.250275658768199e-05,0.0
2,4.500551317536398e-05,0.0
3,6.750826976304597e-05,0.0
4,9.001102635072796e-05,0.0
5,0.00011251378293840996,0.0002591344908007256
6,0.00013501653952609194,0.00038870173620108835
7,0.00015751929611377394,0.00038870173620108835
8,0.00018002205270145592,0.0007774034724021767
9,0.00020252480928913792,0.001166105208603265
10,0.00022502756587681992,0.001166105208603265
11,0.0002475303224645019,0.001295672454003628
12,0.0002700330790521839,0.001295672454003628
13,0.00029253583563986586,0.0016843741902047163
14,0.0003150385922275479,0.001813941435605079
15,0.00033754134881522986,0.0020730759264058047
16,0.00036004410540291183,0.0020730759264058047
17,0.00038254686199059386,0.0020730759264058047
18,0.00040504961857827583,0.0020730759264058047
19,0.0004275523751659578,0.0020730759264058047
20,0.00045005513175363983,0.0020730759264058047
21,0.0004725578883413218,0.0020730759264058047
22,0.0004950606449290038,0.0022026431718061676
23,0.0005175634015166857,0.0022026431718061676
24,0.0005400661581043678,0.0022026431718061676
25,0.0005625689146920498,0.0022026431718061676
26,0.0005850716712797317,0.0022026431718061676
27,0.0006075744278674137,0.0022026431718061676
28,0.0006300771844550958,0.0022026431718061676
29,0.0006525799410427777,0.0022026431718061676
30,0.0006750826976304597,0.0022026431718061676
31,0.0006975854542181417,0.0022026431718061676
32,0.0007200882108058237,0.0022026431718061676
33,0.0007425909673935057,0.002461777662606893
34,0.0007650937239811877,0.002461777662606893
35,0.0007875964805688696,0.002461777662606893
36,0.0008100992371565517,0.0028504793988079814
37,0.0008326019937442337,0.003109613889608707
38,0.0008551047503319156,0.0033687483804094327
39,0.0008776075069195976,0.003627882871210158
40,0.0009001102635072797,0.0038870173620108835
41,0.0009226130200949616,0.004016584607411246
42,0.0009451157766826436,0.004016584607411246
43,0.0009676185332703256,0.004016584607411246
44,0.0009901212898580077,0.004016584607411246
45,0.0010126240464456897,0.004405286343612335
46,0.0010351268030333715,0.00466442083441306
47,0.0010576295596210535,0.004923555325213786
