category,count,share
Increase,5510,0.12437081010315329
No change,17592,0.39708371893551225
Decrease,2346,0.052953524592014085
New function,7947,0.17937837166783288
Deleted or renamed,23,0.000519152201882491
Function pair not recoverable,10852,0.24494955194907794
No parent commit,33,0.0007448705505270523
